Time (s),A_x,A_y,A_z,Gyr_x,Gyr_y,Gyr_z,freq,speed,state
55.67968221,9.26966114,3.499330527,-3.638692187,1.353439212,-1.565437675,-0.057907492,999.6495164,-0.119206191,walking
55.72968325,-2.076707051,-2.910166832,0.005385286,3.98342371,-1.747012734,-2.743375778,1000.918548,0.312019584,walking
55.77968429,0.098967049,-5.277546574,2.99319057,-4.835093498,1.885161757,0.764406681,999.8760068,-0.042162917,walking
55.81768965,-4.636914518,-2.319974027,0.375566077,5.125354767,-4.212255955,0.159049884,1002.789676,0.945851111,walking
55.82968533,-2.166703302,-5.68220138,3.135859416,-4.246407986,5.024409294,1.629953504,1002.570517,0.871735124,walking
55.87968638,0.441998048,1.812056224,-0.610397712,-1.167082071,-0.754625499,0.22653465,1001.599389,0.542923976,walking
55.92968742,-2.905925261,-0.472414094,0.118824485,-2.211055279,2.973548889,-0.017664861,999.5304781,-0.159712425,walking
55.97968846,5.473848714,-0.800770921,-4.68854894,2.795502663,-2.592315674,1.902252555,1004.322903,1.463460693,walking
56.01768965,2.818040733,1.258311453,0.905985135,0.416071117,-2.09497571,-1.382253647,1000.341387,0.116031982,walking
56.0296895,-0.1398309,-1.44539955,2.626169322,-0.834154546,-0.920000315,-1.701582909,1004.469735,1.512947556,walking
56.09737296,-3.472121093,-5.99310953,3.832988439,-1.21030879,2.307062864,-0.175128624,1000.043441,0.014769251,walking
56.147374,-0.381548948,0.640103468,-3.164040948,-0.565160632,0.166742757,1.478211045,996.3588884,-1.242502019,walking
56.19737504,1.073663984,2.254169462,0.947917857,0.014769176,0.922812223,-0.182318106,999.5309888,-0.159538638,walking
56.21768965,0.121477659,-1.127141449,-1.560799321,-0.660552681,0.492797375,1.292092562,1001.634608,0.554859882,walking
56.24737608,3.956567003,-0.346448112,-0.256297203,-0.014400192,0.062362038,-1.335340023,997.4674033,-0.863269174,walking
56.29737713,-4.788943879,-0.719550172,0.224628683,0.908080816,-0.46265465,-1.101736069,1003.789434,1.283543615,walking
56.34737817,0.982485427,-4.305959188,-2.82409991,-1.212056756,0.83652848,0.708958983,998.1915311,-0.615993433,walking
56.39737921,-3.029487453,0.812489911,1.215325647,-0.181652308,1.543987274,-0.755488217,999.4994956,-0.170256708,walking
56.41768965,-1.272300332,-1.003270524,1.485985366,-0.407211751,0.735240459,0.079759695,1004.875146,1.649508191,walking
56.44738025,2.936939478,1.308218608,-3.565626258,-0.449442506,-0.056394901,1.475836039,1002.772857,0.940164518,walking
56.49738129,5.365655344,0.803454208,0.65299117,0.827711701,-1.420247197,-0.157497019,1002.438,0.826903884,walking
56.54738233,-1.44363369,-2.422168154,2.753369358,0.957399786,-1.922583461,-2.587268353,999.2405736,-0.25840122,walking
56.59738338,-4.734985188,-6.168973312,0.382202082,-2.861504316,0.963205516,0.5701828,999.5346988,-0.158276054,walking
56.61509375,1.991925933,-2.08399736,-1.118947161,1.889065266,-0.076245554,3.430327177,1000.719228,0.244361664,walking
56.61768965,3.61708234,2.110968812,-0.26792673,-2.679821968,1.581582308,0.495126188,1004.782364,1.618264536,walking
56.64738442,2.579081109,0.999622446,1.163597377,0.592835724,-0.785009801,-0.906703711,1000.639394,0.217255103,walking
56.66509479,4.316164334,0.933965231,-0.865556609,0.310593456,-0.476453304,-0.450519562,1004.417726,1.495420541,walking
56.71509583,1.022061721,-0.396156462,1.454029748,1.573619485,-3.538800001,-2.359837532,997.9502531,-0.698345369,walking
56.76509688,-1.303218069,-0.885437434,4.115401646,0.816262424,2.999534369,0.688222468,997.7301732,-0.773496825,walking
56.81509792,-3.002528281,-3.072556289,0.185785922,-1.241630077,1.096205711,2.538339376,1000.368262,0.125163062,walking
56.81768965,0.45964436,1.59854339,1.27647539,-0.872333586,0.669115424,0.780868411,1001.041173,0.353630746,walking
56.86509896,2.177762433,1.50744377,-3.037661276,-0.267988116,1.508045554,-0.529162347,999.6649813,-0.113944517,walking
56.9151,4.139197767,2.206567279,1.921152989,0.430696994,0.064284749,-0.222625852,1003.322287,1.125837215,walking
56.96510104,2.520678535,-2.721242124,2.788773665,0.690338969,-3.060984373,-3.410599709,999.9418645,-0.019767212,walking
57.01510208,-5.777009888,-3.441173535,1.778623891,0.374493837,-0.008873515,-0.595636189,996.2913321,-1.26564092,walking
57.01768965,-0.059365611,-4.528740444,2.848695346,1.474749088,0.950078785,3.543448925,1003.89009,1.317505276,walking
57.06510313,2.872593209,2.732010942,-0.171098739,-0.944019973,1.262135625,1.302761197,996.862195,-1.070211805,walking
57.13293837,1.784669912,0.890558426,-0.803093728,-0.380101949,1.375130296,0.868473113,1000.356496,0.121165539,walking
57.18293942,5.703727319,0.358333163,-0.93450873,0.642481268,-0.204272687,-1.194227457,1000.990116,0.336306535,walking
57.21768965,1.286818968,-2.494867755,2.451759742,0.427623421,-3.776106596,-3.25948,999.5128984,-0.165695255,walking
57.23294046,-5.177821142,-3.466713004,4.416462209,-1.125318408,0.737127006,0.018928891,1004.064314,1.376273088,walking
57.2829415,0.482613393,-4.360157615,2.352501503,3.052180767,1.482878566,3.032721281,1001.521469,0.516513536,walking
57.33294254,1.032272129,1.771951926,-1.930804695,-1.491368175,0.990352869,0.156505495,997.6298616,-0.807761549,walking
57.38294358,0.235315931,0.604406217,4.156932372,0.294225723,0.420481861,1.275138974,1004.050261,1.371533645,walking
